city_name,no2_q,near_pp_q,rd_lng_q,d_c_tm_q,d_h_tm_q,m_d_d_q,wtr_ds_q,ndvi_q,pm25_q,EQI,no2_q_rank,near_pp_q_rank,rd_lng_q_rank,d_c_tm_q_rank,d_h_tm_q_rank,m_d_d_q_rank,wtr_ds_q_rank,ndvi_q_rank,pm25_q_rank,EQI_rank
Abbotsford,7.9815950920245395,7.3496932515337425,5.110429447852761,3.5460122699386503,4.515337423312883,2.0,4.269938650306749,6.171779141104294,7.515337423312883,53.84458077709606,18,11,15,29,21,26,28,18,14,24
Barrie,9.279166666666669,7.0,5.8125,4.254166666666666,6.391666666666667,7.0,4.841666666666667,7.204166666666667,8.441666666666666,66.91666666666661,9,12,6,26,6,9,25,9,10,4
Calgary,5.272555205047318,4.220820189274448,6.305993690851735,5.571608832807571,5.869400630914827,2.276340694006309,4.789905362776025,3.4889589905362777,4.788643533123029,47.31580792148611,26,19,2,13,12,24,26,30,21,29
Chicoutimi,9.905940594059404,10.0,4.376237623762377,5.3861386138613865,3.915841584158416,1.0,7.143564356435643,6.178217821782178,8.534653465346535,62.71177117711766,3,1,26,15,23,27,7,17,9,10
Edmonton,5.563421828908554,3.6777286135693217,5.495575221238938,6.008849557522124,5.120206489675517,1.0,3.967551622418879,4.0855457227138645,2.915929203539823,42.03867584398554,25,21,9,7,16,27,29,28,28,30
Gatineau,8.23936170212766,3.257978723404255,4.829787234042553,4.329787234042553,2.6968085106382977,6.0,6.579787234042553,6.547872340425532,8.74468085106383,56.91784869976355,16,23,22,25,28,13,14,15,8,19
Guelph,7.373737373737374,6.994949494949495,5.328282828282828,4.661616161616162,6.126262626262626,10.0,6.818181818181818,7.883838383838384,6.515151515151516,68.55780022446685,20,13,12,21,9,1,11,3,16,2
Halifax,9.894613583138174,1.5081967213114753,4.592505854800937,4.744730679156909,4.833723653395785,4.0,8.533957845433255,7.939110070257612,10.0,62.27426489721567,4,28,24,20,19,15,2,2,1,11
Hamilton,6.036541889483066,6.727272727272728,4.928698752228164,6.671122994652406,5.547237076648841,9.46613190730838,4.898395721925134,5.860071301247772,3.378787878787879,59.46028916617148,23,15,19,3,13,6,22,19,25,14
Kelowna,9.33,8.055,4.895,3.155,2.155,3.0,6.655,4.5,1.6,48.16111111111107,8,6,20,30,30,21,13,26,30,28
Kingston,9.524064171122994,4.684491978609626,4.855614973262032,5.497326203208556,4.262032085561497,7.0,7.679144385026738,7.363636363636363,8.877005347593583,66.38146167557927,5,17,21,14,22,9,4,8,6,6
Kitchener,7.184451219512195,7.611280487804878,5.003048780487805,5.689024390243903,6.086890243902439,10.0,6.358231707317073,7.370426829268292,4.557926829268292,66.51253387533872,21,10,18,11,10,1,16,7,22,5
London,8.448214285714286,8.001785714285715,5.798214285714286,5.694642857142857,5.535714285714286,10.0,6.458928571428571,7.757142857142857,4.225,68.79960317460313,13,9,7,9,14,1,15,4,23,1
Milton,5.25,1.4166666666666667,5.777777777777778,5.666666666666667,7.222222222222222,9.0,3.75,4.787037037037037,5.75,54.02263374485592,27,30,8,12,2,7,30,24,18,22
Moncton,9.909638554216867,9.0,4.198795180722891,5.114457831325301,3.2289156626506026,3.0,6.921686746987952,8.102409638554217,10.0,66.08433734939754,2,4,28,17,27,21,10,1,1,8
Montreal,3.2998467936091047,9.49288684613701,5.414751586780477,5.3223900196979645,5.089954038082731,5.330706938060845,4.843072882468811,4.640621580214489,3.197636244254761,51.81318547700683,29,3,10,16,17,14,24,25,27,26
Oshawa,7.436651583710407,1.7828054298642535,5.276018099547511,4.024886877828054,6.244343891402715,7.0,6.160633484162896,7.3710407239819,6.289592760180995,57.31774761186521,19,26,13,27,7,9,18,6,17,18
Ottawa,8.373182552504039,2.9240710823909533,5.041195476575121,5.811793214862682,3.5395799676898223,6.372374798061389,5.551696284329564,6.903069466882068,8.79967689822294,59.24071082390948,15,24,17,8,26,12,19,12,7,15
Quebec,8.39877300613497,8.052585451358457,5.056967572304996,4.556529360210342,3.832602979842244,3.2936021034180545,6.6888694127957935,6.586327782646801,3.284837861524978,55.27899503359622,14,7,16,22,25,20,12,14,26,21
Regina,9.378299120234605,10.0,6.809384164222874,4.428152492668621,6.695014662756599,4.0,4.774193548387097,3.674486803519061,7.243401759530792,63.33659172368846,6,1,1,24,5,15,27,29,15,9
Saskatoon,9.013966480446928,1.7458100558659218,6.0307262569832405,3.8966480446927374,7.5027932960893855,1.0,5.324022346368715,4.11731843575419,8.128491620111731,51.95530726256979,11,27,5,28,1,27,21,27,11,25
Sherbrooke,9.373271889400922,9.0,4.728110599078341,6.548387096774194,6.055299539170507,4.0,6.9953917050691246,6.741935483870968,7.622119815668203,67.84946236559136,7,4,23,4,11,15,9,13,13,3
St. Catharines,7.127272727272727,2.2623376623376625,4.316883116883117,5.025974025974026,6.142857142857143,10.0,7.277922077922078,7.181818181818182,3.748051948051948,58.98124098124093,22,25,27,19,8,1,6,10,24,17
St. John's,10.0,6.083636363636364,3.883636363636364,4.541818181818182,3.847272727272727,1.0,8.101818181818182,7.447272727272727,10.0,61.00606060606056,1,16,30,23,24,27,3,5,1,13
Toronto,3.0478890989287963,3.432104599873976,6.0450535601764335,5.69281663516068,7.031348456206679,8.098141146817895,4.890044108380592,5.483931947069944,4.818840579710145,53.93352236925011,30,22,4,10,3,8,23,20,20,23
Trois Rivieres,8.762557077625571,3.817351598173516,4.561643835616438,8.068493150684931,2.6484018264840183,4.0,7.031963470319635,5.292237442922374,5.621004566210046,55.33739218670721,12,20,25,1,29,15,8,21,19,20
Vancouver,4.052075746540423,4.343408594319009,5.358703568827385,5.066278222869628,4.904224326292789,2.018208302986161,5.549890750182083,4.958849235251274,9.081937363437728,50.37064012300716,28,18,11,18,18,25,20,22,5,27
Victoria,9.163841807909604,8.04331450094162,3.9981167608286254,6.203389830508475,5.188323917137477,3.0,7.4369114877589455,7.111111111111111,9.595103578154426,66.37790332705582,10,8,29,6,15,21,5,11,4,7
Windsor,5.919661733615222,1.4291754756871036,5.181818181818182,6.38477801268499,6.936575052854122,10.0,8.843551797040169,6.247357293868922,2.171247357293869,59.0157387831806,24,29,14,5,4,1,1,16,29,16
Winnipeg,8.103907637655418,6.88898756660746,6.30550621669627,6.961811722912966,4.516873889875666,4.0,6.218472468916518,4.91740674955595,7.836589698046181,61.94395105585155,17,14,3,2,20,15,17,23,12,12
