id,name,overall,heatWave,airQualityPM25,airQualityNO2,emsResponse,age9,age65,indigenous,africanNS,activeTransport,outdoorWorkers,chronicConditions,materialSecurity,socialConnect,socialDiversity,greenSpace,blueSpace
10101,Bridgewater,52.6,74.0,37.0,40.8,66.7,34.2,69.7,23.4,10.0,14.0,46.4,62.7,67.5,45.0,67.5,23.0,1.0
10102,Chester and Area,39.5,74.0,64.0,10.0,38.6,35.8,67.3,22.5,10.0,13.9,52.1,48.9,45.0,45.0,67.5,22.0,2.5
10103,Liverpool,64.4,79.7,46.0,34.7,41.5,13.9,77.4,63.0,12.9,12.8,63.5,74.5,90.0,45.0,67.5,8.2,9.1
10104,Lunenburg/ Mahone Bay,27.6,58.8,46.0,16.2,58.6,33.8,69.8,15.0,10.0,22.8,40.2,53.0,22.5,45.0,45.0,24.7,0.4
10205,Digby/ Clare/ Weymouth,63.6,61.9,55.0,42.8,37.8,20.5,69.3,56.8,14.2,15.8,54.2,79.8,90.0,67.5,45.0,22.2,3.1
10206,Shelburne/ Lockport,74.9,62.7,100.0,33.8,22.4,49.6,54.5,41.6,15.6,12.6,82.8,76.8,67.5,67.5,90.0,10.0,3.5
10207,Yarmouth,78.1,57.0,100.0,39.7,74.3,51.6,51.7,85.6,11.2,14.4,52.7,64.5,67.5,45.0,67.5,22.4,0.9
10308,Annapolis Royal,57.8,96.4,28.0,31.0,19.1,46.0,70.4,24.6,10.0,21.5,62.1,49.8,90.0,67.5,67.5,16.6,7.6
10309,Berwick,52.6,83.7,28.0,28.5,59.2,65.3,41.5,24.3,10.0,13.7,52.7,51.8,67.5,45.0,67.5,39.4,4.6
10310,Kentville,46.3,68.4,37.0,36.9,77.9,65.5,41.5,26.4,11.3,15.6,30.7,42.7,45.0,45.0,45.0,61.1,2.3
10311,Middleton,46.2,53.3,37.0,10.7,52.5,53.5,59.9,26.4,11.4,15.6,36.7,47.7,67.5,45.0,67.5,55.6,11.3
10312,Wolfville,50.9,65.8,73.0,21.0,55.2,65.4,41.5,24.0,14.0,21.0,46.5,49.3,45.0,22.5,67.5,55.1,7.6
20413,East Hants Corridor,39.9,81.8,37.0,34.8,45.0,94.6,21.4,30.3,12.3,10.0,65.1,40.5,22.5,22.5,67.5,35.3,0.6
20414,Economy/ Glenholme,56.4,50.8,82.0,38.2,31.9,70.9,42.3,12.4,10.0,13.9,66.0,39.5,45.0,45.0,90.0,40.5,22.7
20415,Hants North,44.1,74.3,55.0,41.6,10.0,100.0,25.0,15.7,10.0,10.5,100.0,17.0,67.5,22.5,67.5,19.1,5.7
20416,South Colchester,64.9,89.4,28.0,55.1,45.3,80.8,36.6,73.7,10.0,13.4,66.9,33.0,45.0,45.0,67.5,41.4,11.5
20417,Truro and Area,75.3,68.9,55.0,59.7,82.3,71.6,42.2,32.9,13.4,17.6,34.4,52.0,67.5,45.0,67.5,67.7,15.1
20518,Amherst,72.6,77.9,28.0,58.5,90.0,42.2,66.8,14.7,10.0,19.7,27.6,70.2,67.5,67.5,67.5,71.2,0.3
20519,Cumberland North / North Shore,66.6,78.5,46.0,37.0,27.5,52.5,58.0,15.2,10.0,16.1,75.8,71.4,67.5,67.5,90.0,29.7,8.0
20520,South Cumberland,63.7,56.0,91.0,41.9,6.5,41.2,66.9,13.2,10.0,14.0,56.0,65.9,90.0,67.5,67.5,30.6,18.3
20521,Springhill,56.5,56.9,37.0,37.7,69.7,42.0,66.8,15.6,10.0,14.7,28.5,42.5,90.0,67.5,67.5,50.3,5.1
20622,New Glasgow/ Westville/ Stellarton,79.5,81.0,64.0,54.3,81.8,61.7,52.1,18.4,23.2,13.7,37.9,59.5,67.5,67.5,67.5,49.9,13.3
20623,Pictou West,68.3,81.6,73.0,44.3,53.3,61.6,52.2,14.5,10.0,14.8,58.7,91.1,45.0,45.0,67.5,40.3,5.9
30724,Antigonish,65.0,100.0,37.0,24.7,75.2,76.0,43.3,34.6,10.0,18.3,46.2,58.2,45.0,45.0,67.5,42.6,19.1
30725,Guysborough/ Canso,73.0,67.5,55.0,39.5,30.9,10.9,100.0,22.4,38.4,12.3,81.5,77.0,90.0,67.5,67.5,20.2,1.3
30726,Sherbrooke,67.4,78.2,55.0,27.1,15.9,10.0,100.0,34.4,10.0,11.7,88.5,63.4,90.0,67.5,90.0,12.1,0.9
30827,Port Hawkesbury / L'Ardoise/ Isle Madame,60.0,68.7,55.0,36.7,48.7,35.0,73.4,50.2,10.0,15.3,56.2,54.5,67.5,67.5,45.0,25.2,9.8
30828,Baddeck/ Whycocomagh,88.5,93.4,37.0,24.4,59.9,60.2,66.5,100.0,10.0,14.5,60.7,90.5,67.5,45.0,45.0,43.5,38.9
30829,Cheticamp,67.6,75.9,10.0,23.4,40.1,54.2,66.9,43.2,10.0,13.4,68.1,100.0,90.0,45.0,45.0,33.3,37.1
30830,Dingwall,76.0,82.3,46.0,31.0,54.1,59.3,66.8,19.3,10.0,11.6,97.4,45.5,90.0,67.5,90.0,19.2,6.1
30831,Inverness,71.9,78.9,28.0,21.7,50.1,54.6,66.8,71.8,10.0,14.8,72.0,58.0,45.0,45.0,45.0,24.9,90.0
30932,New Waterford,79.9,100.0,37.0,36.0,74.6,50.9,48.2,12.9,10.0,11.6,41.7,61.4,90.0,90.0,67.5,73.2,10.0
30933,Sydney and Area,82.0,82.2,64.0,63.6,86.2,51.1,48.1,62.6,10.9,16.2,38.0,55.2,67.5,67.5,45.0,63.4,3.7
30934,Dominion/ Glace Bay,79.3,91.6,46.0,34.5,83.6,51.1,48.1,10.0,10.0,12.4,51.0,59.8,90.0,90.0,67.5,66.8,0.1
30935,Florence/ Sydney Mines/ North Sydney,90.0,95.1,37.0,61.3,77.4,51.5,48.9,20.8,10.0,14.2,63.7,65.5,90.0,67.5,90.0,64.6,6.6
41036,Dartmouth North,64.6,65.7,46.0,82.3,77.7,77.0,10.1,29.9,29.0,46.2,50.3,21.1,45.0,67.5,10.0,72.9,10.0
41037,Dartmouth South,44.1,64.1,46.0,71.6,67.1,77.0,10.0,25.1,19.5,37.7,25.0,37.7,22.5,45.0,22.5,60.6,10.0
41038,Dartmouth East,27.0,66.3,28.0,50.3,63.1,77.0,10.0,22.9,15.8,28.3,34.9,20.9,22.5,22.5,22.5,63.7,10.0
41039,Cole Harbour/ Eastern Passage,41.8,62.1,73.0,64.6,59.2,77.1,10.0,29.0,24.9,21.2,34.6,23.2,22.5,22.5,45.0,61.6,0.0
41040,Preston/Lawrencetown/Lake Echo,33.7,56.0,55.0,18.8,45.0,76.9,10.1,35.7,100.0,12.1,53.9,22.3,22.5,22.5,45.0,15.3,0.3
41141,Tantallon/Timberlea/SMB,15.8,65.0,46.0,50.2,54.2,76.9,10.1,24.8,12.2,18.3,39.2,13.6,10.0,10.0,45.0,29.0,0.2
41142,Sambro Rural Loop,10.0,13.9,64.0,32.8,22.0,76.9,10.1,27.6,10.0,10.9,56.4,17.3,22.5,10.0,67.5,24.4,10.0
41143,Armdale/ Spryfield/ Herring Cove,18.7,10.0,46.0,26.5,59.1,77.0,10.0,22.5,25.2,32.6,32.2,36.1,22.5,45.0,10.0,53.8,10.0
41144,Halifax Needham,82.1,65.7,55.0,98.1,82.6,77.1,10.0,23.9,26.6,80.8,23.4,60.2,22.5,67.5,10.0,90.0,32.1
41145,Halifax Chebucto,48.6,59.2,37.0,82.8,74.2,77.0,10.0,13.5,18.3,76.7,14.3,20.0,22.5,22.5,10.0,70.5,54.7
41146,Fairview,51.3,56.2,37.0,96.9,66.5,76.9,10.0,22.7,22.4,49.6,37.2,26.6,22.5,67.5,10.0,72.4,2.1
41147,Clayton Park,40.1,60.2,46.0,92.4,57.0,77.1,10.0,19.5,14.2,35.6,30.5,31.1,22.5,45.0,10.0,61.0,10.0
41148,Halifax Citadel,41.2,28.9,46.0,100.0,73.3,77.1,10.0,11.7,10.0,100.0,10.0,15.9,22.5,22.5,10.0,79.4,10.0
41249,Bedford/ Hammonds Plains,18.0,70.8,46.0,58.8,56.4,77.1,10.0,18.1,13.0,17.5,27.6,29.1,10.0,22.5,22.5,35.2,0.2
41250,Sackville South,44.5,73.1,37.0,39.3,63.7,77.1,10.0,31.3,24.9,23.1,44.1,25.7,45.0,45.0,45.0,59.0,0.1
41251,Sackville North and Area,21.6,72.4,46.0,25.7,52.7,80.2,12.1,35.4,14.5,15.4,48.7,18.0,22.5,10.0,45.0,33.7,0.2
41252,Fall River and Area,22.0,76.9,28.0,61.4,53.2,77.0,10.0,26.3,10.0,13.4,45.7,10.0,10.0,10.0,67.5,25.1,10.0
41353,Eastern Shore/ Musquodoboit,46.1,73.7,73.0,29.5,14.8,76.9,10.0,39.4,10.0,13.6,71.7,33.6,67.5,45.0,67.5,24.3,0.8
41454,West Hants,61.0,84.6,55.0,46.4,43.0,98.1,25.9,21.0,10.0,11.5,58.7,54.1,45.0,45.0,67.5,45.2,12.4
